Codigo,Sigla,Nome,Regente,sigla_grau,icursocod,nvcepocaexame
41790,AES,Ambientes de Execução Seguros,Paulo Jorge de Campos Bartolomeu,M2,9281,2º SEMESTRE
41793,fq,Física Quântica,António Ferreira da Cunha,MI,"[8309, 8321]",2º SEMESTRE
41794,ER,Engenharia Reversa,João Paulo Silva Barraca,L1,"[9281, 8295]",2º SEMESTRE
41796,PC,Psicologia e Cibersegurança,José Ignacio Guinaldo Martin,MI,"[8309, 9281, 9283, 9263]",1º SEMESTRE
41876,SI-I,Sistemas Inteligentes I,Luís Filipe de Seabra Lopes,M2,"[9283, 9263]",1º SEMESTRE
41877,SI-II,Sistemas Inteligentes II,Luís Filipe de Seabra Lopes,M2,"[9283, 9263]",2º SEMESTRE
41878,PSR,Programação de Sistemas Robóticos,Eurico Farinha Pedrosa,M2,"[8309, 9163, 9283, 9263]",2º SEMESTRE
41879,PC,Perceção e Controlo,José Nuno Panelas Nunes Lau,M2,9283,1º SEMESTRE
41883,MMA,Materiais para Manufatura Aditiva,Susana Maria Henriques Olhero,M2,9163,1º SEMESTRE
41914,ICD,Introdução à Ciência de Dados,João José Lourenço Marques,MI,"[8309, 8240]",1º SEMESTRE
41919,SIGCS,Sistemas de Informação Geográfica para Ciências Sociais,Luis Jorge dos Santos Gouveia Marques Gonçalves,MI,"[9263, 8240]",1º SEMESTRE
41941,FM,Física Moderna,Vitor Brás de Sequeira Amaral,L1,"[8309, 8295, 8321]",2º SEMESTRE
41945,SSE,Sinais e Sistemas Eletrónicos,Ernesto Fernando Ventura Martins,L1,"[8316, 8240]",2º SEMESTRE
41947,LI,Laboratórios de Informática,António Manuel Adrego da Rocha,MI,"[8316, 8240]",2º SEMESTRE
